"AED Name","AED Address","Detailed location of the AED installed","Location Google Map coordinate: latitude","Location Google Map coordinate: longitude","Whether the AED can be used by anyone","Person allowed to operate the AED","Person who has access to the AED","Ground level categories","Service Hour Remark","AED brand","AED model","AED remark"
"Po Lam Ambulance Depot","17 Po Lam Road North, NT","Outside Main Entrance",22.3272317,114.2535845,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai Chik Sha Ambulance Depot","321 Wan Po Road, Tseung Kwan O, NT","Outside Main Entrance",22.2899163,114.2746098,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Wong Tai Sin Ambulance Depot","5 Ying Fung Lane, Wong Tai Sin, Kowloon","Outside Main Entrance",22.3426283,114.1970218,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ho Man Tin Ambulance Depot","88 Chung Hau Street, Ho Man Tin, Kowloon","Outside Main Entrance",22.314568,114.17963,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kowloon Tong Ambulance Depot ","3 Baptist University Road, Kowloon","Outside Main Entrance",22.3346138,114.1826245,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ma Tau Chung Ambulance Depot ","53 Shing Tak Street, Ma Tau Wai, Kowloon","Outside Main Entrance",22.324685,114.1879423,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Pak Tin Ambulance Depot","G/F, Shui Tin House, Pak Tin Estate, 50 Pak Wan Street, Shek Kip Mei, Kowloon","Outside Main Entrance",22.3361468,114.1687236,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Cheung Sha Wan Ambulance Depot ","7 Fat Tseung Street, Cheung Sha Wan, Kowloon","Outside Main Entrance",22.335580613331,114.15488969325,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lai Chi Kok Ambulance Depot ","33 Mei Lai Road, Lai Chi Kok, Kowloon","Outside Main Entrance",22.3373923,114.1413825,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Mongkok Ambulance Depot","42 Tai Kok Tsui Road, Kowloon","Outside Main Entrance",22.3202961,114.1622818,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsim Tung Ambulance Depot","5-7 Hong Tat Path, Tsim Sha Tsui East, Kowloon","Outside Main Entrance",22.30180042332653,114.17933903498765,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Yau Ma Tei Ambulance Depot","44 Waterloo Road, Yau Ma Tei, Kowloon","Outside Main Entrance",22.3129352,114.1715012,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Fanling Ambulance Depot ","2 Sha Tau Kok Road - Lung Yeuk Tau, Fanling, NT","Outside Main Entrance",22.4938948,114.1399641,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Lau Fau Shan Ambulance Depot","101 Tin Shui Road, Tin Shui Wai, NT","Outside Main Entrance",22.4714952,114.0023903,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sheung Shui Ambulance Depot","1 Choi Shun Street, Sheung Shui, NT","Outside Main Entrance",22.5057393,114.1201071,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tai Po Ambulance Depot","21 Tai Po Tai Wo Road, Tai Po, NT","Outside Main Entrance",22.4517183,114.1638609,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ta Kwu Ling Ambulance Post","Lin Ma Hang Road, Ta Kwu Ling, NT","Outside Main Entrance",22.5408705,114.1493014,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tin Shui Wai Ambulance Depot","3 Tin Ho Road, Tin Shui Wai, NT","Outside Main Entrance",22.4502394,114.0016674,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Castle Peak Bay Ambulance Depot","6 Tuen Yee Street, Tuen Mun, NT","Outside Main Entrance",22.382998,113.969531,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Sham Tseng Ambulance Depot","32 Castle Peak Road - Sham Tseng, Sham Tseng, NT","Outside Main Entrance",22.3677338,114.0631558,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tuen Mun Ambulance Depot","1 Tsun Wen Road, Tuen Mun, NT","Outside Main Entrance",22.395372305548204,113.97132894180295,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Yuen Long Ambulance Depot","2 Fung Kam Street, Yuen Long, NT","Outside Main Entrance",22.441057958185,114.03314933069,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Ma On Shan Ambulance Depot","1 On Shan Lane, Ma On Shan, NT","Outside Main Entrance",22.419583243949,114.23321986875,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Shatin Ambulance Depot","24 Yuen Wo Road, Shatin, NT","Outside Main Entrance",22.390975,114.2003,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tin Sum Ambulance Depot","2 Fu Kin Street, Shatin, NT","Outside Main Entrance",22.3662959,114.1760005,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Kwai Chung Ambulance Depot","86 Hing Shing Road, Kwai Chung , NT","Outside Main Entrance",22.3599058,114.1249611,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Penny&amp;#39;s Bay Ambulance Depot","8 Long Yan Road, North Lantau Island, NT","Outside Main Entrance",22.317212191931,114.04012394974,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tsuen Wan Ambulance Depot","47-51 Wai Tsuen Road, Tsuen Wan, NT","Outside Main Entrance",22.374009802531,114.12168063436,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Tung Chung Ambulance Depot","3 Shun Tung Road, Tung Chung, Lantau Island","Outside Main Entrance",22.2853205,113.9417045,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Hong Kong-Zhuhai-Macao Bridge Ambulance Depot ","10 Shun Ngon Road, Hong Kong-Zhuhai-Macao Bridge Hong Kong Port, New Territories","Outside Main Entrance(Inside Closed Area)",22.3141084,113.9560643,Yes,Anyone,Anyone,"Street level",,Philips,FR3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Near Transfer Desk M1, Arrival Level (L5), Midfield Concourse, Terminal 1",22.309793938939517,113.91798727354124,Yes,Anyone,"Staff only","Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Near Transfer Desk W1, Arrivals Level (L5), Terminal 1",22.31280636469089,113.9271818860443,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Arrivals Hall (South), Arrivals Level (L5), Terminal 1",22.31547133954653,113.93568985303953,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Arrivals Hall (North), Arrivals Level (L5), Terminal 1",22.315739323029725,113.93561475118712,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Before Immigration Hall, Arrivals Level (L5), Terminal 1",22.315109064760698,113.93416635831908,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, Front of Check-in Aisle E, Departures Level (L7), Terminal 1",22.315582999393698,113.93550612172201,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, After Departures (East Hall), Departures Level (L6), Terminal 1",22.31499864520408,113.93370770057753,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Customer Services Centre, After Departures (West Hall), Departures Level (L6), Terminal 1",22.313163682708502,113.92763786157683,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","E1 Transfer Point, Terminal 1",22.315848501338337,113.93375329813078,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","W1 Transfer Point, Terminal 1",22.31294532180639,113.92767541250304,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","M1 Transfer Point, Terminal 1",22.30961527573309,113.91783706983641,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Departures Immigration Hall (North), Departures Level (L7), Terminal 1",22.316039563172954,113.93434874853209,Yes,Anyone,Anyone,"Non-street level",,"Cardiac Science",G3,
"The Hong Kong Jockey Club","Happy Valley Clubhouse (New), 25 Shan Kwong Road, Happy Valley, Hong Kong","R/F Reception",22.2656129,114.1864753,Yes,Anyone,"Staff only","Non-street level",,,,
"Airport Authority Hong Kong","Hong Kong International Airport, Lantau, Hong Kong","Duty Office No. 3P007, SkyPier",22.318046937289818,113.94381962856367,Yes,Anyone,"Staff only","Non-street level",,"Cardiac Science",G3,
ELEMENTS,"1 Austin Road West, Tsim Sha Tsui, Kowloon.","1/F Fire Zone Concierge",22.3047692,114.1612911,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
ELEMENTS,"1 Austin Road West, Tsim Sha Tsui, Kowloon.","1/F Water Zone Concierge",22.3047692,114.1612911,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
ELEMENTS,"1 Austin Road West, Tsim Sha Tsui, Kowloon.","1/F Fire Zone Concierge near Hong Kong West Kowloon Station",22.3047692,114.1612911,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
ELEMENTS,"1 Austin Road West, Tsim Sha Tsui, Kowloon.","2/F Wood Zone ELEMENTS Club Premium Club Lounge",22.3047692,114.1612911,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
ELEMENTS,"1 Austin Road West, Tsim Sha Tsui, Kowloon","2/F Metal Zone Redemption Counter",22.3047692,114.1612911,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Luk Yeung Galleria","No. 22-66, Wai Tsuen Road, Tsuen Wan, New Territories.","2/F Customer Service Centre",22.3729004,114.1191563,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Cardiac Science",G3,
"CityLink Plaza","1, Shatin Station Circuit, Shatin, New Territories.","Retail Floor Customer Service Centre",22.3825691,114.1875111,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Cardiac Science",G5,
"Royal Plaza","1 Tsun King Road, Fo Tan, Shatin, New Territories.","G/F Customer Service Centre",22.3988826,114.2012944,Yes,"Staff only","Accompanied By Staff only","Street level",,"Cardiac Science",G3,
"Paradise Mall","Paradise Mall, 100 Shing Tai Road, Chai Wan, Hong Kong.","1/F East Commercial Block near shop 103B(Palladium)",22.2767315,114.2399396,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Ocean Walk","168-236 Wu Chui Road, Tuen Mun, New Territories.","1/F Customer Service Centre",22.3724946,113.96677,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Cardiac Science",G3,
"Sun Tuen Mun Shopping Centre","55-65 Lung Mun Road, Tuen Mun, New Territories.","L3 Customer Service Centre",22.3812408,113.9643827,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Cardiac Science",G3,
"Hanford Plaza","333 Castle Peak Road, Tuen Mun, New Territories.","L1 Security Control Room, Shopping Mall",22.3827185,113.9779187,Yes,"Staff only","Accompanied By Staff only","Street level",,"Cardiac Science",G3,
"The LOHAS","1 Lohas Park Road, Tseung Kwan O, New Territories","2/F Customer Service Centre",22.2949071,114.2697138,Yes,"Staff only","Accompanied By Staff only","Non-street level",,Defibtech,AED-DCF-E130S,
"The LOHAS","1 Lohas Park Road, Tseung Kwan O, New Territories","3/F Customer Service Centre",22.2949071,114.2697138,Yes,"Staff only","Accompanied By Staff only","Non-street level",,Defibtech,AED-DCF-E130S,
"Maritime Square","33 Tsing King Road, Tsing Yi, New Territories.","1/F Customer Service Centre, Maritime Square 1",22.3584265,114.1081419,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Cardiac Science","G3 plus",
"Maritime Square","31 Tsing King Road, Tsing Yi, New Territories.","Maritime Square 2, G/F Customer Service Centre",22.36005870332,114.1071307072,Yes,"Staff only","Accompanied By Staff only","Street level",,"Cardiac Science","G3 plus",
"Telford Plaza","33 Wai Yip Street, Kowloon Bay, Kowloon.","G/F Customer Service Centre, Phase I, Telford Plaza",22.3238143,114.2135246,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
"Telford Plaza","33 Wai Yip Street, Kowloon Bay, Kowloon.","3/F Customer Service Centre, Phase II, Telford Plaza",22.321705278848,114.21314037356,Yes,"Staff only","Accompanied By Staff only","Non-street level",,"Physio Control","Lifepak CR Plus",
PopCorn,"9, Tong Yin Street, Tsang Kwan O, New Territories.","G/F Customer Service Centre, PopCorn 1",22.307805,114.2595907,Yes,"Staff only","Accompanied By Staff only","Street level",,"Cardiac Science",G5,
